method,parameter,mean,bias,sd,rmse
BLP+IV,sigma,1.508764,0.008764,0.039202,0.040170
BLP+IV,beta_p,-0.951052,0.048948,0.036215,0.060889
BLP+IV,beta_w,0.615616,0.115616,0.017037,0.116864
BLP-IV,sigma,1.432092,-0.067908,0.395268,0.401059
BLP-IV,beta_p,-0.449455,0.550545,0.332073,0.642940
BLP-IV,beta_w,0.443978,-0.056022,0.101376,0.115825
Shrinkage,sigma,1.448026,-0.051974,0.071824,0.088657
Shrinkage,beta_p,-0.970561,0.029439,0.038668,0.048599
Shrinkage,beta_w,0.511037,0.011037,0.019319,0.022249
Lu25MAP,sigma,1.434138,-0.065862,0.046811,0.080803
Lu25MAP,beta_p,-0.958464,0.041536,0.041243,0.058534
Lu25MAP,beta_w,0.507904,0.007904,0.013450,0.015601
